"","company_name","status_label","year","current_assets","cogs","dep_amort","EBITDA","inventory","net_income","receivables","mkt_value","net_sales","total_assets","long_term_debt","EBIT","gross_profit","current_liabilities","ret_earnings","total_revenue","total_liab","total_op_exp","lag_total_assets","lag_total_revenue","working_capital","Altman_z","operating_income","ROA","current_ratio"
"14","C_19","alive",2005,22.131,13.296,0.548,6.072,7.091,10.292,5.504,96.0169,28.519,31.116,0,5.524,15.223,3.298,-2.771,28.519,3.298,22.447,19.693,20.656,18.833,19.5722157710139,15.223,0.773015792413548,6.71043056397817
"15","C_20","failed",2005,270.45,2329.094,7.06,26.071,11.692,17.641,232.355,96.3391,2364.833,312.662,11.475,19.011,35.739,231.129,53.541,2364.833,247.006,2338.762,238.854,2069.788,39.321,8.38886702609988,35.739,0.149626968775905,1.17012577391846
"16","C_22","alive",2005,3558.836,2236.468,1219.344,1466.999,388.631,165.483,948.817,13327.1262,5847.577,7287.779,1327.065,247.655,3611.109,1821.961,637.314,5847.577,3700.954,4380.578,7844.21,5001.435,1736.875,3.48354314695508,3611.109,0.460353432659248,1.95329976876563
"17","C_24","alive",2005,16.132,23.906,0.665,2.973,6.404,2.55,4.59,27.489,34.763,20.212,2.564,2.308,10.857,4.523,7.576,34.763,7.133,31.79,18.463,30.721,11.609,5.62300312468016,10.857,0.588040946758382,3.56665929692682
"18","C_25","alive",2005,3.735,6.676,1.411,-1.12,0.247,-0.501,2.045,3.3437,14.09,28.847,12.941,-2.531,7.414,6.334,-144.034,14.09,19.275,15.21,28.089,11.343,-2.599,-6.79537516917039,7.414,0.263946740717007,0.589674771076729
"19","C_26","alive",2005,2414.7,5298.7,728.3,1683.9,577.2,711.7,1734.2,12235.5109,8143.5,10408.8,2052.9,955.6,2844.8,1943.2,4884,8143.5,5652.2,6459.6,10040.4,7411.4,471.5,3.09543381427905,2844.8,0.283335325285845,1.24264100452861
"20","C_27","alive",2005,19.032,66.097,0.683,3.841,5.706,2.055,8.906,30.209,79.529,23.923,0.764,3.158,13.432,7.952,6.892,79.529,9.423,75.688,24.109,69.999,11.08,6.64263467439304,13.432,0.557136339126467,2.39336016096579
"21","C_29","alive",2005,4.19,4.326,0.35,-3.513,1.904,-3.791,1.171,25.0792,7.184,10.544,1.144,-3.863,2.858,1.344,-67.363,7.184,2.488,10.697,11.586,4.911,2.846,-3.09999821297005,2.858,0.246677023994476,3.11755952380952
"22","C_30","alive",2005,1540.3,2457.6,143.4,151.7,44,-5.9,124.2,1194.9769,2975.3,3792,969.1,8.3,517.7,1165.6,146.1,2975.3,2964.4,2823.6,3335,2723.8,374.7,1.20622996895082,517.7,0.155232383808096,1.32146533973919
"23","C_31","alive",2005,27.973,37.73,5.389,18.087,17.705,8.958,8.291,127.3346,72.089,78.47,2.529,12.698,34.359,8.226,82.318,72.089,16.575,54.002,67.408,66.081,19.747,7.83271829946828,34.359,0.509716947543318,3.40055920252857
"24","C_32","alive",2005,1189.624,1703.75,53.984,388.636,689.692,210.901,285.94,4116.5973,3531.231,2302.123,124.084,334.652,1827.481,535.93,1292.183,3531.231,770.501,3142.595,2058.78,3257.996,653.694,6.34582848982709,1827.481,0.887652396079231,2.21973765230534
"25","C_33","alive",2005,4355,27891,1147,2385,3036,446,723,9305.5,40358,17871,6278,1238,12467,3880,5215,40358,12164,37973,18311,39897,475,3.38633676123954,12467,0.680847577958604,1.12242268041237
"26","C_34","alive",2005,6438,16129,1080,2562,2734,129,3254,15230.165,20320,26638,5265,1482,4191,5845,2651,20320,16927,17758,33341,24885,593,1.65230931951411,4191,0.125701088749588,1.10145423438837
"27","C_36","alive",2005,1727.914,2745.064,80.563,249.684,241.47,60.666,996.241,1354.785,4377.305,3831.819,953.463,169.121,1632.241,937.34,690.438,4377.305,2261.475,4127.621,4518.413,4613.551,790.574,2.14728989273907,1632.241,0.361242099825757,1.84342287750443
"28","C_37","alive",2005,303,1196,84,266,18,126,177,2386.56,1602,2071,296,182,406,254,820,1602,1057,1336,1778,1494,49,3.00097497038666,406,0.228346456692913,1.19291338582677
"29","C_38","failed",2005,1.677,3.088,1.339,-1.644,0,-3.613,0.671,26.6986,3.572,30.881,2.144,-2.983,0.484,4.329,-1.411,3.572,11.572,5.216,18.1,5.255,-2.652,1.01418270494165,0.484,0.0267403314917127,0.387387387387387
"30","C_40","alive",2005,128.977,33.695,6.957,12.666,22.711,6.09,13.586,383.1143,55.525,247.694,48.039,5.709,21.83,17.819,127.634,55.525,103.508,42.859,238.242,52.057,111.158,3.78093931123547,21.83,0.0916295195641407,7.23817273696616
"31","C_42","alive",2005,1173.818,2163.699,308.141,874.188,165.342,67.136,374.228,5157.4625,3037.887,8558.812,3640.91,566.047,874.188,1286.454,-387.346,3037.887,6817.528,2163.699,9045.14,2756.121,-112.636,0.947940111447717,874.188,0.0966472602966897,0.912444595764792
"32","C_46","alive",2005,11962,20444,697,3545,3401,1655,5017,30898.2418,27653,32294,3082,2848,7209,10430,11697,27653,21040,24108,31062,25601,1532,2.59245574996085,7209,0.232084218659455,1.14688398849473
"33","C_47","alive",2005,35.652,70.428,6.122,19.34,5.945,7.175,26.964,210.2442,105.344,137.355,54.937,13.218,34.916,20.62,1.817,105.344,76.48,86.004,80.192,47.726,15.032,2.88376593317731,34.916,0.435405027932961,1.7290009699321
"34","C_48","alive",2005,4365.4,4041.3,1482.6,3650.2,232.6,1331.4,1077.2,24205.5386,9487,24013.1,5782.9,2167.6,5445.7,2404.8,7292.3,9487,10992.1,5836.8,16603.7,8246.1,1960.6,2.53733805638666,5445.7,0.327981112643567,1.81528609447771
"35","C_50","alive",2005,495.982,444.311,39.442,92.775,77.4,25.611,171.454,1113.5475,792.371,1187.843,230,53.333,348.06,158.235,-574.723,792.371,395.279,699.596,1168.806,784.023,337.747,2.16933574804345,348.06,0.297791079101237,3.13446456220179
"36","C_51","alive",2005,119.634,405.318,1.328,16.853,21.424,4.573,69.199,38.6472,447.815,140.527,2.456,15.525,42.497,78.184,-48.608,447.815,100.481,430.962,132.787,315.894,41.45,3.65172644976625,42.497,0.320038859225677,1.53015962345237
"37","C_54","alive",2005,5290,18144,1103,3098,855,1242,3655,11802.6301,22747,19115,3759,1995,4603,6447,4388,22747,12829,19649,16312,16733,-1157,2.33516795134136,4603,0.282184894556155,0.820536683728866
"38","C_55","alive",2005,2559,4297,88,0,229,-537,353,3033.001,5077,6964,2749,-88,780,2659,-826,5077,6544,5077,1475.264,2338.957,-100,0.78213628565139,780,0.528718927595332,0.962391876645355
"39","C_56","alive",2005,204.937,318.324,16,4.5,77.127,-17.633,41.742,37.3457,445.172,356.844,1.963,-11.5,126.848,157.192,14.001,445.172,336.994,440.672,355.285,433.869,47.745,1.42315602078421,126.848,0.357031678793082,1.30373683139091
"40","C_57","alive",2005,3192.7,3652,224.4,1407.9,1663.1,621.1,1115.6,11413.5458,6734.7,13201.5,4889.9,1183.5,3082.7,2817.9,5868,6734.7,9181.1,5326.8,7883.6,5845.5,374.8,2.20824374132811,3082.7,0.39102694200619,1.133006849072
"41","C_58","alive",2005,521.453,2298.769,19.591,84.366,21.28,57.941,348.504,970.2288,2582.266,903.71,0,64.775,283.497,275.074,365.387,2582.266,427.784,2497.9,842.524,2416.223,246.379,5.34796260456983,283.497,0.336485370149693,1.89568261631416
"42","C_60","alive",2005,44.73,42.676,5.674,24.205,0,15.438,14.978,256.0171,79.387,89.469,0,18.531,36.711,12.713,10.569,79.387,25.51,55.182,77.233,54.167,32.017,8.18719532963462,36.711,0.475327903875286,3.51844568551876
"43","C_61","alive",2005,3945,8827,1318,3284,726,821,1220,14603.0377,12111,36172,11266,1966,3284,5460,2258,12111,27023,8827,34663,14057,-1515,0.875546153905232,3284,0.0947407898912385,0.722527472527473
"44","C_62","alive",2005,1162.142,790.591,54.222,216.006,217.318,84.376,142.087,1266.101,1885.701,2218.962,300.516,161.784,1095.11,584.04,1437.608,1885.701,998.937,1669.695,2535.628,1902.727,578.102,3.07054089503288,1095.11,0.4318890625912,1.98983288815835
"45","C_63","alive",2005,18044.841,4506.627,786.873,5475.167,2333.543,3656.298,3030.58,61888.0884,18755.79,35841.126,9231.479,4688.294,14249.163,9947.961,6449.321,18755.79,23846.757,13280.623,33629.704,17358.028,8096.88,3.03512472365071,14249.163,0.423707654399813,1.81392357690184
"46","C_64","alive",2005,10.666,23.342,0.562,0.473,3.066,-8.092,5.005,9.1523,32.304,15.099,2.178,-0.089,8.962,3.305,8.714,32.304,6.627,31.831,28.862,49.023,7.361,4.34165812233495,8.962,0.310512092024115,3.22723146747352
"47","C_65","alive",2005,8.344,7.81,3.062,4.44,0.332,0.932,4.379,54.0702,22.448,26.595,2.429,1.378,14.638,4.496,5.505,22.448,8.211,18.008,19.639,19.128,3.848,5.42952929787624,14.638,0.745353633077041,1.855871886121
"48","C_66","alive",2005,65.802,49.326,6.343,7.701,13.818,-9.691,12.572,43.1691,83.347,115,0,1.358,34.021,16.567,4.532,83.347,40.331,75.646,100.628,59.489,49.235,1.97487602506649,34.021,0.338086814803037,3.97187179332408
"49","C_67","alive",2005,21.663,26.161,0.364,5.075,0,5.46,3.833,36.7488,33.973,33.505,0,4.711,7.812,5.783,19.225,33.973,5.783,28.898,30.443,32.021,15.88,6.66280671470855,7.812,0.256610715106921,3.74597959536573
"50","C_69","alive",2005,153.924,84.417,0.989,49.944,20.943,29.786,25.868,847.2314,163.604,173.389,9.63,48.955,79.187,28.893,31.863,163.604,43.191,113.66,98.287,88.314,125.031,14.7674433310661,79.187,0.805671146743719,5.32738033433704
"51","C_70","alive",2005,10.709,3.677,5.395,10.941,0,1.767,4.019,31.5193,18.231,48.668,18.705,5.546,14.554,8.286,4.74,18.231,27.819,7.29,47.106,16.389,2.423,1.62655744898734,14.554,0.30896276482826,1.29242095100169
"52","C_71","alive",2005,80.536,35.781,1.353,7.361,0,5.019,15.816,179.7957,76.63,109.889,0,6.008,40.849,25.488,18.052,76.63,26.358,69.269,104.344,64.544,55.048,5.8016542851178,40.849,0.391483937744384,3.15976145637163
"53","C_72","alive",2005,3066.2,7302.2,180.4,1125,1078.2,556.3,1161.3,8259.3429,10264.4,6867.8,1676.1,944.6,2962.2,2228.9,1267,10264.4,5945.3,9139.4,6841.8,9508.8,837.3,3.18656341798958,2962.2,0.432956239586074,1.37565615325946
"54","C_73","alive",2005,48.173,43,5.383,11.85,27.54,4.268,10.008,85.8803,72.965,77.872,5.276,6.467,29.965,9.141,48.259,72.965,17.725,61.115,69.853,61.183,39.032,5.58722076375452,29.965,0.428972270339141,5.26999234219451
"55","C_75","alive",2005,106.818,97.101,7.016,39.283,44.359,19.002,60.269,429.8385,189.796,183.227,34.367,32.267,92.695,65.15,72.632,189.796,100.779,150.513,122.346,150.855,41.668,5.0039509337208,92.695,0.757646347244699,1.63957022256332
"56","C_77","alive",2005,352.93,503.543,18.924,55.077,98.389,32.61,180.558,390.9751,704.574,578.036,77.109,36.153,201.031,136.804,290.471,704.574,281.538,649.497,543.937,605.853,216.126,3.41072994718996,201.031,0.369585080625146,2.57982222742025
"57","C_79","alive",2005,556.307,984.043,39.428,278.837,193.099,140.643,269.395,2998.049,1434.457,1780.6,475.309,239.409,450.414,405.792,743.769,1434.457,975.048,1155.62,1420.352,1232.318,150.515,3.78039048719615,450.414,0.317114349119092,1.3709166272376
"58","C_80","alive",2005,9235,1541,841,5785,1258,3674,1769,96524.64,12430,29297,3957,4944,10889,3595,-3110,12430,8846,6645,29221,10550,5640,7.61056530913173,10889,0.372642962253174,2.56884561891516
"59","C_81","alive",2005,4.842,2.686,0.044,-3.329,2.14,-4.158,0.373,7.1325,3.418,5.397,0,-3.373,0.732,2.462,-5.261,3.418,5.88,6.747,13.288,10.882,2.38,-1.53684090367665,0.732,0.0550872968091511,1.96669374492283
"60","C_82","alive",2005,141.59,197.719,6.569,18.495,48.536,15.036,47.338,141.7192,246.999,241.869,0,11.926,49.28,54.034,27.108,246.999,100.568,228.504,237.944,202.861,87.556,2.62074308124463,49.28,0.207107554718757,2.62038716363771
"61","C_84","alive",2005,3732.456,850.404,155.564,703.031,325.605,414.787,320.523,12758.417,2388.808,4583.211,0,547.467,1538.404,818.923,3250.156,2388.808,891.71,1685.777,4720.083,2633.8,2913.533,11.2557186697379,1538.404,0.325927319498407,4.55776184085683
"62","C_85","alive",2005,382.472,205.559,18.989,19.571,70.026,28.862,56.613,709.1115,364.571,496.705,0.058,0.582,159.012,94.998,351.818,364.571,97.115,345,452.071,355.557,287.474,6.80504792055629,159.012,0.351741208792424,4.02610581275395
"63","C_86","alive",2005,69.415,259.887,3.745,1.358,0,-17.699,66.968,59.0496,322.298,102.004,0,-2.387,62.411,43.233,32.246,322.298,45.692,320.94,105.677,341.612,26.182,4.6084272242305,62.411,0.590582624412124,1.6056022020216
"64","C_87","alive",2005,95.509,58.561,5.458,14.557,19.403,7.413,15.925,230.3617,94.461,175.482,0,9.099,35.9,10.955,57.914,94.461,16.403,79.904,207.482,85.078,84.554,10.1759757786968,35.9,0.173027057768867,8.71830214513921
"65","C_88","alive",2005,16.489,6.312,2.618,-8.01,1.237,-10.752,3.775,47.5377,10.373,74.708,21.984,-10.628,4.061,6.332,-26.608,10.373,32.327,18.383,51.764,6.132,10.157,0.216226403620235,4.061,0.0784522061664477,2.60407454200884
"66","C_91","alive",2005,1076.857,1445.944,84.002,190.11,353.402,38.858,471.097,1794.2469,1961.234,2311.027,275.604,106.108,515.29,435.616,890.308,1961.234,760.475,1771.124,2240.945,1838.749,641.241,3.28808818728794,515.29,0.229943171296038,2.47203270770587
"67","C_92","alive",2005,109.915,349.435,18.901,21.73,43.785,0.248,58.151,160.4595,418.357,331.428,85.096,2.829,68.922,81.418,138.252,418.357,181.88,396.627,288.953,316.074,28.497,2.50696620775268,68.922,0.238523220039245,1.35000859760741
"68","C_93","alive",2005,372.541,1076.406,22.1,69.2,246.181,26.087,83.291,323.9616,1296.652,634.144,168.043,47.1,220.246,276.322,102.132,1296.652,475.261,1227.452,572.789,1275.273,96.219,3.10637348300161,220.246,0.384515065757199,1.34821331634832
"69","C_94","alive",2005,2617.308,1997.267,338.532,1212.668,51.292,648.695,822.104,11945.5478,3459.908,7230.407,1251.751,874.136,1462.641,1352.456,2182.506,3459.908,3472.267,2247.24,5862.609,2394.031,1264.852,3.57416031030006,1462.641,0.249486363494478,1.93522598886766
"70","C_95","alive",2005,1758.7,8600.5,979,3705,654.5,1839.2,681.4,33409.992,15035.7,16555,7972.1,2726,6435.2,1982.6,15531.8,15035.7,13211.7,11330.7,16173.4,14934.2,-223.9,4.26614887522234,6435.2,0.397887889992209,0.887067487138102
"71","C_96","alive",2005,2.178,6.667,0.888,2.388,0.387,0.659,1.746,29.8329,9.055,32.742,9,1.5,2.388,5.424,8.741,9.055,21.013,6.667,30.228,9.866,-3.246,1.53436521645866,2.388,0.0789996030170702,0.401548672566372
"72","C_97","alive",2005,778.216,827.653,34.302,108.456,359.028,-211.561,380.442,474.159,1313.598,1190.576,379.72,74.154,485.945,308.788,-87.903,1313.598,736.552,1205.142,1456.365,1200.727,469.428,2.06489893963568,485.945,0.333669787450261,2.5202274699794
"73","C_98","alive",2005,2162.077,1647.713,1415.682,5611.306,209.67,2623.73,1444.545,22619.8909,7457.291,19271.796,2191.954,4195.624,5809.578,2186.564,6151.255,7457.291,8730.581,1845.985,15502.48,5308.017,-24.4869999999996,3.10525150477834,5809.578,0.374751523627187,0.988801151029652
"74","C_100","alive",2005,42.535,13.703,5.608,24.575,0.447,29.846,5.737,379.9968,41.739,132.713,0,18.967,28.036,10.423,110.905,41.739,12.273,17.164,104.931,30.582,32.112,20.8236463083508,28.036,0.267185102591227,4.08087882567399
"75","C_101","alive",2005,203.134,550.071,16.6,47.617,42.861,23.768,147.815,481.6475,696.733,403.958,45.2,31.017,146.662,127.809,125.125,696.733,204.905,649.116,368.465,628.813,75.325,4.04590999771929,146.662,0.398035091528368,1.58935599214453
"76","C_102","alive",2005,10300,9722.3,165.7,1815.7,165,1335,1312,44765.3686,13931,11551,0,1650,4208.7,3484,4005,13931,4085,12115.3,8050,8279,6816,9.44602232045189,4208.7,0.522819875776398,2.95637198622273
"77","C_103","alive",2005,9448.683,3605.516,300.433,1748.398,1034.093,1209.9,1615.504,26285.5138,6991.823,11269.157,407.38,1447.965,3386.307,1765.414,8190.545,6991.823,2340.608,5243.425,12093.445,8013.053,7683.269,9.6182684291289,3386.307,0.280011774973963,5.35210607823434
"78","C_105","alive",2005,299.313,642.39,22.421,144.912,135.96,71.251,131.185,1146.7928,976.066,996.335,442.661,122.491,333.676,188.735,611.75,976.066,751.502,831.154,424.136,726.851,110.578,3.29374640157703,333.676,0.786719354169417,1.58589026942538
"79","C_106","alive",2005,15.876,63.626,0.757,12.28,1.165,16.636,12.972,32.7507,80.374,66.948,9.839,11.523,16.748,17.988,-2.472,80.374,29.857,68.094,51.048,59.793,-2.112,2.33713636985598,16.748,0.328083372512145,0.882588392261508
"80","C_108","alive",2005,9710.701,32847.819,664.652,2015.18,3906.698,1044.385,4102.263,13905.5306,35943.81,18598.105,3530.14,1350.528,3095.991,5366.864,3047.632,35943.81,10164.633,33928.63,19368.821,36151.394,4343.837,3.5028036147619,3095.99099999999,0.159844060720061,1.80938086003297
"81","C_109","alive",2005,88.764,248.588,7.401,39.217,19.146,19.851,5.714,307.4552,470.354,147.027,1.453,31.816,221.766,47.46,79.251,470.354,64.707,431.137,122.135,502.898,41.304,7.85585044687977,221.766,1.81574487247718,1.87029077117573
"82","C_110","alive",2005,352.541,1644.233,61.851,216.036,0,104.626,165.51,1108.5547,1860.269,916.402,1.433,154.185,216.036,264.372,341.923,1860.269,362.321,1644.233,806.745,1715.763,88.169,5.05876748624337,216.036,0.267787219009724,1.33350354803081
"83","C_111","alive",2005,1561.3,2662.5,141,243.2,514.5,112.1,347,63.0292,3558.4,4606,21.5,102.2,895.9,423.4,-869.4,3558.4,5903.4,3315.2,4609.4,3497.3,1137.9,0.884386952011625,895.9,0.194363691586758,3.68752952290978
"84","C_113","alive",2005,4517.474,9424.586,47.482,538.784,1494.982,253.609,2316.932,3844.0484,11164.196,6044.917,1138.981,491.302,1739.61,2331.878,1400.393,11164.196,3672.031,10625.412,5509.101,10646.113,2185.596,3.50139030466815,1739.61,0.315770213688223,1.93726858780777
"85","C_114","alive",2005,9.482,9.946,0.269,1.958,6.526,0.977,0.956,9.5206,14.619,11.782,2.558,1.689,4.673,2.06,5.424,14.619,4.618,12.661,10.646,12.784,7.422,4.35127852316947,4.673,0.438944204396017,4.60291262135922
"86","C_116","alive",2005,3757,7630,193,408,527,2004,1599,4032.52,9329,6815,82,215,1699,1545,3133,9329,3076,8921,7502,8349,2212,3.29268155516354,1699,0.226472940549187,2.43171521035599
"87","C_117","alive",2005,39.662,33.434,1.209,4.364,9.81,2.551,10.624,54.7754,59.301,49.647,0,3.155,25.867,8.44,30.179,59.301,9.346,54.937,47.039,55.975,31.222,6.52634278356147,25.867,0.54990539764876,4.69928909952607
"88","C_118","alive",2005,38.104,57.111,2.373,6.997,19.381,2.237,12.635,83.4722,74.354,66.439,10.304,4.624,17.243,24.755,25.242,74.354,41.021,67.357,45.236,34.696,13.349,3.34272701569857,17.243,0.381178707224335,1.5392445970511
"89","C_120","alive",2005,2032,2143,133,575,543,193,1220,2708.218,2718,6251,1615,442,575,1939,455,2718,4714,2143,5640,1832,93,1.13260911706142,575,0.101950354609929,1.04796286745745
"90","C_123","alive",2005,92.053,102.849,26.735,51.406,15.64,26.011,43.693,1291.8656,168.5,495.694,54,24.671,65.651,56.159,225.81,168.5,133.557,117.094,498.936,161.074,35.894,7.03248440060421,65.651,0.131582006509853,1.63914955750637
"91","C_124","alive",2005,134.017,282.077,4.645,13.546,97.371,28.269,5.137,167.0705,396.032,293.868,21.462,8.901,113.955,45.988,240.898,396.032,79.663,382.486,310.951,391.3,88.029,4.21304824816727,113.955,0.366472531041868,2.91417326259024
"92","C_128","alive",2005,738.7,137.1,33.8,439.7,14.2,328.9,261.4,9319.464,1523.2,1360.8,0,405.9,1386.1,506.9,23.7,1523.2,569.5,1083.5,1142.204,1234.267,231.8,12.1510337379912,1386.1,1.21353103298535,1.45728940619452
"93","C_129","alive",2005,18.424,26.243,1.736,5.122,1.458,1.9,11.765,92.938,45.392,38.803,0.635,3.386,19.149,10.807,10.187,45.392,11.442,40.27,35.598,41.232,7.617,6.93439019772081,19.149,0.537923478847126,1.70482094938466
"94","C_130","alive",2005,4441.1,3969.5,304.4,1948.4,0,1055.4,2172.4,24350.994,8499.1,27615.4,75.8,1644,4529.6,2800.7,7980,8499.1,21831.6,6550.7,21120.559,7754.942,1640.4,1.64930187725169,4529.6,0.214464020578243,1.58571071517835
"95","C_131","failed",2005,14.038,17.343,1.238,-2.859,4.705,-5.336,2.679,51.0982,27.961,21.989,3.418,-4.097,10.618,7.063,-45.782,27.961,10.481,30.82,23.017,30.821,6.975,1.04771069551742,10.618,0.461311204761698,1.98754070508283
"96","C_132","alive",2005,1558.3,3682.4,167.7,658.3,439.7,226.4,863.2,5511.9113,5473.5,4203.9,723,490.6,1791.1,1525.6,1856.2,5473.5,2692,4815.2,4399.3,5340.9,32.7,3.54312182666527,1791.1,0.407132952969791,1.02143418982695
"97","C_133","alive",2005,637.486,1043.326,23.322,129.301,417.048,56.531,178.826,982.224,1295.201,962.987,199.926,105.979,251.875,327.788,-14.914,1295.201,534.838,1165.9,749.476,1164.003,309.698,3.17428854955342,251.875,0.336068132935544,1.94481189061222
"98","C_134","alive",2005,3782.967,9551.889,55.944,375.94,1224.698,168.239,1888.627,2720.858,11066.816,5098.215,1183.195,319.996,1514.927,1717.518,1406.733,11066.816,3001.182,10690.876,4863.651,10244.741,2065.449,3.7942650454117,1514.927,0.311479380407846,2.20257778957775
"99","C_135","alive",2005,2920.9,3013.4,111.9,1317.4,801.7,847.6,634.1,12889.754,8149.6,4763.3,766.5,1205.5,5136.2,2501.6,2492.2,8149.6,3929.2,6832.2,4148.1,7747.8,419.3,5.35250837376409,5136.2,1.23820544345604,1.16761272785417
"100","C_136","alive",2005,63.451,144.32,5.535,18.965,26.636,7.827,32.008,130.8146,187.184,141.026,14.375,13.43,42.864,35.533,70.301,187.184,53.757,168.219,128.635,152.428,27.918,4.03708001948936,42.864,0.33322190694601,1.78569217347255
"101","C_141","alive",2005,72.564,136.628,6.164,30.11,31.97,13.253,30.45,268.7155,216.654,145.867,15.36,23.946,80.026,39.586,74.259,216.654,72.451,186.544,142.961,205.01,32.978,5.23640075529169,80.026,0.559775043543344,1.83307229828727
"102","C_143","alive",2005,65.644,109.988,7.456,14.034,27.231,3.6,25.713,64.031,165.9,125.768,7.069,6.578,55.912,23.824,69.329,165.9,42.31,151.866,118.781,165.496,41.82,3.57048433019821,55.912,0.470715013343885,2.75537273337811
"103","C_144","alive",2005,191.245,490.79,5.093,22.875,84.654,5.051,79.177,216.894,579.278,225.461,0.912,17.782,88.488,141.981,33.635,579.278,145.637,556.403,211.744,550.751,49.264,4.19420158161344,88.488,0.417900861417561,1.3469760038315
"104","C_145","alive",2005,3840.1,4560.1,382.4,1620.9,1126.3,878.4,1673.4,20756.37,7185.5,7807.4,1078,1238.5,2625.4,1360.7,1075.2,7185.5,3109.6,5564.6,6821.3,6103.8,2479.4,6.02267472483063,2625.4,0.384882647002771,2.82215036378335
"105","C_146","alive",2005,35.266,51.606,2.809,19.712,8.54,10.954,11.521,230.0736,83.095,75.141,0,16.903,31.489,9.15,53.306,83.095,14.208,63.383,60.405,67.406,26.116,12.9743867439124,31.489,0.5212979058025,3.85420765027322
"106","C_147","alive",2005,294.617,510.537,18.241,87.64,114.096,43.021,104.488,848.3225,721.569,504.602,70.025,69.399,211.032,105.662,374.764,721.569,205.147,633.929,501.56,648.195,188.955,5.85407387577786,211.032,0.420751256081027,2.78829664401582
"107","C_148","alive",2005,1225.8,4822.4,213.5,704.4,670.3,261.5,376.6,4138.824,5751.2,4343.4,1473.3,490.9,928.8,1176,1127.2,5751.2,3503,5046.8,4477.7,5440.2,49.8,2.78308887193975,928.8,0.207427920584229,1.04234693877551
